"BAD","DEROG_DELINQ","IMP_CLAGE","DEBTINC","_dmIndex_","_PartInd_","I_BAD","P_BAD1","P_BAD0","EM_EVENTPROBABILITY","EM_CLASSIFICATION","EM_PROBABILITY"
"           1","1.9433801521","94.366666667","           .","     1000001","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.4617491415","121.83333333","           .","     1000002","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","149.46666667","           .","     1000003","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","194.84216401","           .","     1000004","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","101.46600191","37.113613558","     1000006","           1","           0","0.0989518166","0.9010481834","0.0989518166","           0","0.9010481834"
"           1","-2.062872944","        77.1","           .","     1000007","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","88.766029879","36.884894093","     1000008","           0","           0","0.1051429588","0.8948570412","0.1051429588","           0","0.8948570412"
"           1","0.4617491415","216.93333333","           .","     1000009","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","       115.8","           .","     1000010","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","1168.2335609","           .","     1000011","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","122.53333333","           .","     1000012","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","86.066666667","           .","     1000013","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","         123","           .","     1000015","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","300.86666667","           .","     1000016","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-13.50355393","       122.9","           .","     1000017","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","194.84216401","3.7113122995","     1000018","           1","           0","0.0146528912","0.9853471088","0.0146528912","           0","0.9853471088"
"           1","1.9433801521","        54.6","           .","     1000019","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","122.26666667","           .","     1000021","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.0456472264"," 297.9070847","           .","     1000022","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","        67.2","           .","     1000023","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.4617491415","121.73333333","           .","     1000024","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","14.566666667","           .","     1000025","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","70.491080032","38.263600731","     1000026","           1","           0","0.1241830295","0.8758169705","0.1241830295","           0","0.8758169705"
"           1","1.9433801521","136.06666667","           .","     1000028","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.435983784","276.96666667","           .","     1000029","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-12.90239249","145.63333333","           .","     1000032","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-12.36837615","112.63333333","           .","     1000033","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.0456472264","165.33333333","           .","     1000034","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-0.581241934","122.20466276","36.211347998","     1000037","           1","           0","0.3707625939","0.6292374061","0.3707625939","           0","0.6292374061"
"           1","1.9433801521","282.80165924"," 49.20639579","     1000038","           2","           0","0.0626702075","0.9373297925","0.0626702075","           0","0.9373297925"
"           1","1.9433801521","        50.8","           .","     1000040","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","77.766666667","           .","     1000041","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","        23.3","           .","     1000042","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","130.03335846","           .","     1000043","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","187.06666667","           .","     1000044","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","         9.3","           .","     1000045","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","       104.2","           .","     1000046","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","262.16666667","           .","     1000047","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.4617491415","62.366666667","           .","     1000048","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","153.16666667","           .","     1000051","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.2611375873","122.03333333","           .","     1000054","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","298.13156403","35.553538789","     1000055","           0","           0","0.0285700522","0.9714299478","0.0285700522","           0","0.9714299478"
"           1","1.9433801521","121.86666667","           .","     1000056","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","0.4617491415","117.80574784","0.5244992154","     1000058","           1","           0","0.0405402629","0.9594597371","0.0405402629","           0","0.9594597371"
"           1","1.0456472264","         139","           .","     1000059","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","-12.37112638","192.28914897"," 35.73055919","     1000060","           1","           1"," 0.999539499"," 0.000460501"," 0.999539499","           1"," 0.999539499"
"           1","1.4534669779","183.29991561","           .","     1000061","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","162.36666667","           .","     1000062","           1","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","95.933333333","           .","     1000063","           2","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.4534669779","122.60405287","           .","     1000064","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
"           1","1.9433801521","72.033333333","           .","     1000065","           0","           0","0.1994966443","0.8005033557","0.1994966443","           0","0.8005033557"
