Country/Region,Cummulative Doses
Aruba,174749
Afghanistan,18434710
Angola,25552936
Anguilla,24604
Albania,3080679
Andorra,157038
United Arab Emirates,24922054
Argentina,115704764
Armenia,2156999
Antigua and Barbuda,136512
Australia,65492360
Austria,20464490
Azerbaijan,13857111
Burundi,39182
Belgium,29633957
Benin,4232541
Bonaire Sint Eustatius and Saba,35845
Burkina Faso,6674010
Bangladesh,358729841
Bulgaria,4612904
Bahrain,3476633
Bahamas,366359
Bosnia and Herzegovina,1924950
Belarus,21205264
Belize,510717
Bermuda,132042
Bolivia,14690530
Brazil,486436436
Barbados,381715
Brunei,1291978
Bhutan,2011426
Botswana,3171667
Central African Republic,2914105
Canada,96956502
Switzerland,16939813
Chile,62688847
China,3491077000
Cote d'Ivoire,25263932
Cameroon,4735141
Democratic Republic of Congo,16398195
Congo,833210
Cook Islands,40854
Colombia,90506612
Comoros,835021
Cape Verde,859940
Costa Rica,13148135
Cuba,44885422
Curacao,260324
Cayman Islands,151822
Cyprus,1798610
Czechia,18625397
Germany,192221468
Djibouti,392703
Dominica,67647
Denmark,15043606
Dominican Republic,16306266
Algeria,15267442
Ecuador,39564195
Egypt,112673535
Spain,105840320
Estonia,2112287
Ethiopia,54041862
Finland,13214538
Fiji,1555182
Falkland Islands,4407
France,154462264
Faeroe Islands,103894
Gabon,572672
United Kingdom,151248820
Georgia,2930677
Guernsey,178525
Ghana,22384226
Gibraltar,132810
Guinea,10645240
Gambia,1444492
Guinea-Bissau,824250
Equatorial Guinea,488738
Greece,22124070
Grenada,90686
Greenland,79738
Guatemala,20362104
Guyana,960133
Hong Kong,20804837
Honduras,16963148
Croatia,5362004
Haiti,608275
Hungary,16701238
Indonesia,444303130
Isle of Man,189994
India,2206685870
Ireland,11122947
Iran,155369703
Iraq,19557364
Iceland,805469
Israel,18649248
Italy,144574280
Jamaica,1526084
Jersey,266953
Jordan,10057975
Japan,383747738
Kazakhstan,20918681
Kenya,23750431
Kyrgyzstan,3522177
Cambodia,47030856
Kiribati,219980
Saint Kitts and Nevis,64297
South Korea,129647782
Kuwait,8260414
Laos,11111066
Lebanon,5814699
Liberia,4460668
Libya,3739158
Saint Lucia,122977
Liechtenstein,74330
Sri Lanka,40116590
Lesotho,1339097
Lithuania,4546001
Luxembourg,1374547
Latvia,2895716
Macao,1802985
Morocco,55389602
Monaco,65140
Moldova,2287894
Madagascar,2973152
Maldives,951764
Mexico,223158993
North Macedonia,1862987
Mali,5922585
Malta,1380865
Myanmar,64549994
Montenegro,679171
Mongolia,5492919
Mozambique,29457535
Mauritania,4068530
Montserrat,4619
Mauritius,2615218
Malawi,8168028
Malaysia,72630716
Namibia,990462
New Caledonia,480702
Niger,7339299
Nigeria,116606863
Nicaragua,15328476
Niue,4923
Netherlands,36104942
Norway,12145560
Nepal,61989256
Nauru,32157
New Zealand,12052315
Oman,7086050
Africa,807471179
Asia,9028266607
Northern Cyprus,861519
England,148468256
European Union,942137711
Europe,1384289530
High income,2815884314
Kosovo,1837446
Low income,298500789
Lower middle income,4877843755
North America,1150595546
Northern Ireland,4589120
Oceania,82818337
South America,957348233
Scotland,13014285
Upper middle income,5418473461
Wales,8866460
World,13410789432
Pakistan,338879164
Panama,8893001
Pitcairn,117
Peru,89656595
Philippines,189317158
Papua New Guinea,737695
Poland,58009210
Portugal,28176562
Paraguay,9745545
Palestine,3748571
French Polynesia,502952
Qatar,7609178
Romania,16827486
Russia,186692479
Rwanda,26106436
Saudi Arabia,68534631
Sudan,22598737
Senegal,2936343
Singapore,14727569
Saint Helena,7892
Solomon Islands,625956
Sierra Leone,8124614
El Salvador,11289175
San Marino,69338
Somalia,9443849
Serbia,8534688
South Sudan,4312900
Sao Tome and Principe,262837
Suriname,505699
Slovakia,5754313
Slovenia,2996643
Sweden,26157046
Eswatini,867487
Sint Maarten (Dutch part),66829
Seychelles,224558
Syria,5090630
Turks and Caicos Islands,73907
Chad,8547802
Togo,3401991
Thailand,142635014
Tajikistan,18871161
Tokelau,5374
Turkmenistan,13040514
Timor,2018353
Tonga,203208
Trinidad and Tobago,1580898
Tunisia,13252435
Turkey,152543341
Tuvalu,26783
Taiwan,67913330
Tanzania,39392419
Uganda,26406936
Ukraine,31668577
Uruguay,9023476
United States,676728782
Uzbekistan,75807715
Saint Vincent and the Grenadines,73443
Venezuela,37860994
British Virgin Islands,41453
Vietnam,266403148
Vanuatu,366638
Wallis and Futuna,18058
Samoa,453083
Yemen,1275368
South Africa,38841308
Zambia,13454213
Zimbabwe,12222754
