Date,United States,Australia,New Zealand,England
2022-01,6600697602,600502962,120739986,1246928949
2022-02,6077229508,570430688,110517552,1146009774
2022-03,6795486776,645791284,124001411,1282044634
2022-04,6621916071,642598975,122368763,1250429999
2022-05,6884154907,668866900,127058205,1299404734
2022-06,6693229825,324472584,123249281,1262868503
2022-07,6942374319,,127734075,1311970962
2022-08,6972177316,,127979755,1319284226
2022-09,6774563616,,123950630,1280243784
2022-10,7044514583,,128153131,1325420342
2022-11,6854696077,,124076359,1284956240
2022-12,7107965988,,128270855,1286262723
